user_id,name,age,interests
82,Brittany Hawkins,26,"EXTREME,SWIMMING,DRINK,VIDEO_GAMES,MUSIC,KARAOKE,TENNIS"
83,Lori Dean,34,"COOKING,RUN,TENNIS,VIDEO_GAMES"
84,Sheryl Brown,22,"DRINK,MUSIC,TENNIS,EXTREME,KARAOKE,YOGA,COOKING,TRAVELLING,ART"
85,Raven Smith,37,"RUN,ART,EXTREME,SWIMMING"
86,Samuel Ballard,34,"MUSIC,EXTREME,ART,RUN,KARAOKE,VIDEO_GAMES,TENNIS,SHOPPING"
87,Brittany Wade,26,"ART,YOGA,DRINK,TENNIS,PHOTOGRAPHY,KARAOKE,TRAVELLING,RUN"
88,Marissa Newman,29,"DRINK,KARAOKE,YOGA,TENNIS,MUSIC"
89,Beth Rodriguez,35,"PHOTOGRAPHY,YOGA,MUSIC,SHOPPING,RUN,TENNIS,ART,DRINK,VIDEO_GAMES,COOKING"
90,Garrett Coleman,26,"SHOPPING,SWIMMING,MUSIC,KARAOKE,TRAVELLING,EXTREME,TENNIS,COOKING"
91,Abigail Curtis,19,"VIDEO_GAMES,SWIMMING,COOKING,SHOPPING,MUSIC,RUN,TRAVELLING,PHOTOGRAPHY,YOGA"
92,Richard Singh,20,DRINK
93,Kaylee Hoover,21,"EXTREME,ART,MUSIC,SHOPPING,TRAVELLING"
94,Troy Wang,35,"RUN,YOGA,COOKING,MUSIC,PHOTOGRAPHY"
95,Jason Schultz,33,"KARAOKE,TENNIS,MUSIC,SHOPPING,YOGA,VIDEO_GAMES"
96,Megan Boyer,23,"RUN,VIDEO_GAMES,SHOPPING,DRINK,MUSIC,TENNIS"
97,Mark Bruce,36,"DRINK,VIDEO_GAMES,COOKING,RUN,YOGA,PHOTOGRAPHY,TRAVELLING"
98,Danielle Allen,20,"PHOTOGRAPHY,EXTREME,MUSIC,RUN,KARAOKE,DRINK"
99,Kathryn Green,29,"TENNIS,ART,SWIMMING,YOGA"
100,Rebecca Bell,21,"RUN,SWIMMING,KARAOKE,PHOTOGRAPHY,MUSIC,VIDEO_GAMES,TENNIS,COOKING,YOGA,SHOPPING"
